,Unnamed: 0,drug_a_name,drug_b_name,cell_line,synergy,fold
2166,BORTEZOMIB_DASATINIB_A2058,BORTEZOMIB,DASATINIB,A2058,21.6596544046,1
2167,BORTEZOMIB_DASATINIB_A2780,BORTEZOMIB,DASATINIB,A2780,27.3530278789,4
2168,BORTEZOMIB_DASATINIB_A375,BORTEZOMIB,DASATINIB,A375,24.4102754975,0
2169,BORTEZOMIB_DASATINIB_A427,BORTEZOMIB,DASATINIB,A427,15.3285354475,2
2170,BORTEZOMIB_DASATINIB_CAOV3,BORTEZOMIB,DASATINIB,CAOV3,-2.1258635801,3
2171,BORTEZOMIB_DASATINIB_COLO320DM,BORTEZOMIB,DASATINIB,COLO320DM,-11.5318641829,0
2172,BORTEZOMIB_DASATINIB_DLD1,BORTEZOMIB,DASATINIB,DLD1,13.4637332776,2
2173,BORTEZOMIB_DASATINIB_EFM192B,BORTEZOMIB,DASATINIB,EFM192B,20.7373924083,4
2174,BORTEZOMIB_DASATINIB_ES2,BORTEZOMIB,DASATINIB,ES2,4.3518036434,3
2175,BORTEZOMIB_DASATINIB_HCT116,BORTEZOMIB,DASATINIB,HCT116,-9.2178912765,1
2176,BORTEZOMIB_DASATINIB_HT144,BORTEZOMIB,DASATINIB,HT144,-13.5857446319,3
2177,BORTEZOMIB_DASATINIB_HT29,BORTEZOMIB,DASATINIB,HT29,-4.7601846597,2
2178,BORTEZOMIB_DASATINIB_KPL1,BORTEZOMIB,DASATINIB,KPL1,28.2025247584,0
2179,BORTEZOMIB_DASATINIB_LNCAP,BORTEZOMIB,DASATINIB,LNCAP,-24.8411766942,1
2180,BORTEZOMIB_DASATINIB_LOVO,BORTEZOMIB,DASATINIB,LOVO,38.2626407831,0
2181,BORTEZOMIB_DASATINIB_MDAMB436,BORTEZOMIB,DASATINIB,MDAMB436,9.4520600789,0
2182,BORTEZOMIB_DASATINIB_MSTO,BORTEZOMIB,DASATINIB,MSTO,101.8360376786,4
2183,BORTEZOMIB_DASATINIB_NCIH1650,BORTEZOMIB,DASATINIB,NCIH1650,-4.7920955984,3
2184,BORTEZOMIB_DASATINIB_NCIH2122,BORTEZOMIB,DASATINIB,NCIH2122,-44.7851957534,2
2185,BORTEZOMIB_DASATINIB_NCIH23,BORTEZOMIB,DASATINIB,NCIH23,-203.7000357622,4
2186,BORTEZOMIB_DASATINIB_NCIH460,BORTEZOMIB,DASATINIB,NCIH460,36.829351125,1
2187,BORTEZOMIB_DASATINIB_NCIH520,BORTEZOMIB,DASATINIB,NCIH520,-2.9268076327,1
2188,BORTEZOMIB_DASATINIB_OCUBM,BORTEZOMIB,DASATINIB,OCUBM,-1.7142880654,4
2189,BORTEZOMIB_DASATINIB_OV90,BORTEZOMIB,DASATINIB,OV90,-12.6798259617,3
2190,BORTEZOMIB_DASATINIB_OVCAR3,BORTEZOMIB,DASATINIB,OVCAR3,25.3305340243,0
2191,BORTEZOMIB_DASATINIB_PA1,BORTEZOMIB,DASATINIB,PA1,-8.4998664839,4
2192,BORTEZOMIB_DASATINIB_RKO,BORTEZOMIB,DASATINIB,RKO,8.0233361531,4
2193,BORTEZOMIB_DASATINIB_RPMI7951,BORTEZOMIB,DASATINIB,RPMI7951,0.375050682,0
2194,BORTEZOMIB_DASATINIB_SKMEL30,BORTEZOMIB,DASATINIB,SKMEL30,-11.6323367219,2
2195,BORTEZOMIB_DASATINIB_SKMES1,BORTEZOMIB,DASATINIB,SKMES1,-10.1548519166,2
2196,BORTEZOMIB_DASATINIB_SKOV3,BORTEZOMIB,DASATINIB,SKOV3,-16.7112655271,4
2197,BORTEZOMIB_DASATINIB_SW620,BORTEZOMIB,DASATINIB,SW620,20.4134468079,2
2198,BORTEZOMIB_DASATINIB_SW837,BORTEZOMIB,DASATINIB,SW837,26.8847063342,1
2199,BORTEZOMIB_DASATINIB_T47D,BORTEZOMIB,DASATINIB,T47D,4.1456515656,4
2200,BORTEZOMIB_DASATINIB_UACC62,BORTEZOMIB,DASATINIB,UACC62,-4.7962644596,4
2201,BORTEZOMIB_DASATINIB_UWB1289BRCA1,BORTEZOMIB,DASATINIB,UWB1289BRCA1,-1.5353475092,2
2202,BORTEZOMIB_DASATINIB_UWB1289,BORTEZOMIB,DASATINIB,UWB1289,-17.2903991431,2
2203,BORTEZOMIB_DASATINIB_VCAP,BORTEZOMIB,DASATINIB,VCAP,-6.8551523804,2
2204,BORTEZOMIB_DASATINIB_ZR751,BORTEZOMIB,DASATINIB,ZR751,39.5390887758,3
2439,BORTEZOMIB_SORAFENIB_A2058,BORTEZOMIB,SORAFENIB,A2058,5.6802129162,3
2440,BORTEZOMIB_SORAFENIB_A2780,BORTEZOMIB,SORAFENIB,A2780,-9.6181583365,3
2441,BORTEZOMIB_SORAFENIB_A375,BORTEZOMIB,SORAFENIB,A375,-1.5107916969,2
2442,BORTEZOMIB_SORAFENIB_A427,BORTEZOMIB,SORAFENIB,A427,-0.5195874504,4
2443,BORTEZOMIB_SORAFENIB_CAOV3,BORTEZOMIB,SORAFENIB,CAOV3,-32.2038816843,0
